Reviewer,Review,Review Score,Review Like,Review date
grantss,"Sweet, sensitive, thoughtful movie - so much better than I expected A retired 70-year-old widower, Ben (played by Robert De Niro), is bored with retired life. He applies to a be a senior intern at an online fashion retailer and gets the position. The founder of the company is Jules Ostin (Anne Hathaway), a tireless, driven, demanding, dynamic workaholic. Ben is made her intern, but this is a nominal role - she doesn't intend to give him work and it is just window dressing. However, Ben proves to be quite useful and, more than that, a source of support and wisdom.

Good, and surprisingly so. I was expecting a farcical half-baked comedy about how an old guy rejoins the work force and struggles with modern gadgets and work processes. There are a few examples of that but the movie is far more than a story about generational differences. It's more a drama than a comedy, and is a good one too. There's themes of generational wisdom, not judging people by their age (or anything superficial) and making the most of people's talents. It's also a movie about starting over, and doing what you enjoy.

Moreover, it's simply a nice story.

Solid work by Robert De Niro in the lead role. He doesn't do bad performances, but that hasn't stopped him in the past from taking on roles and movies that are well below his standards. This is not one of those roles or movies. Sensitively played, and ideal for the role.

Good work too by Anne Hathaway, who is very convincing as the go- getting entrepreneur.
147 out of 157 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"147 out of 157 found this helpful. Was this review helpful? Sign in to vote.
Permalink",19 August 2016
TheLittleSongbird,"Irresistible first half, clunky second half Love comedy/drama when done right, have liked some of Nancy Meyers' previous work, Robert De Niro at his best is one of the best actors of the latter half of the century (evidenced in 'Taxi Driver', 'Godfather Part II' and 'Raging Bull') and Anne Hathaway has also given good performances. So 'The Intern' seemed promising.

'The Intern' didn't quite live up to expectations, it could have done more with its timely premise and does have things resolved too easily (the cheating subplot in a nausea-inducing forgiveness/reconsideration speech) and characters written too neatly and cleanly (with Ben being very amiable and irresistibly likable if too perfect, Jules is the only one with any real arc). At its best though, it is easy to warm to and for the first half it was continual engagement that didn't demand too much but did what it said on the tin.

What makes 'The Intern' work is the two leads and their chemistry together. De Niro is just a joy in one of his best performances in recent years, while Hathaway is a charming high-flyer with good comic timing, succeeding in allowing character growth to a potentially problematic character. Their chemistry, for such an unorthodox pairing, is so natural and grows warmer without doing it too quickly. Rene Russo is good value though her role is not large while the performances of the colleagues are amusing. The only weak performance with a very flimsily developed and bland character comes from Anders Holm.

It looks good, it's slickly shot and edited and the locations and Hathaway's wardrobe are beautiful on the eyes. The direction is mostly controlled and the film goes at a sprightly pace in the first half. The irresistible charm and a script filled with pleasantly amusing lines and small scenes (such as De Niro turning up at the office in a suit, with a calculator and addressing himself, in a way that's very business-like, in the mirror that reminds one fondly of 'Taxi Driver') and wry observations and insight, taking care in making characters as amiable as possible while never fully developing most of them. The story may lack depth and be unsurprising with some dramatic short cuts in the second half but mostly engages and is charmingly frothy and lively.

Sadly, things take a downturn in a jarring tonal shift to a clunky second half though thanks to De Niro and Hathaway it's not unwatchable. Really admired what 'The Intern' did in giving Jules an arc and it was interesting to begin with, apart from benefitting from more show and less tell at how good she was at her job and such, but halfway through became awkwardly indecisive. The sprightly, feel-good and very easy to warm to tone of the first half is replaced in the second half by pacing that tends to sag and things taking too much of a melodramatic and schmaltzy tone.

For instance the heart to heart/forgiveness scene could have been heartfelt but makes one feel nauseous instead. The wry insights remain but the more sporadic comedic elements don't feel as well timed or placed. As said, Anders Holm doesn't have the same enthusiasm as the rest of the cast and gets lost amidst everything else which does hurt Jules' character arc when she has such a dullard of a spouse. The music score is nothing that sticks in the mind, for music that's pretty repetitive this was a problem.

Overall, decent enough film if one of two halves, starting off very well but later mostly goes down south. 6/10 Bethany Cox.", 6/10,"21 out of 24 found this helpful. Was this review helpful? Sign in to vote.
Permalink",28 September 2017
Hitchcoc,"DeNiro Charms the Entire Cast Totally bored with life, Robert DeNiro's character seeks out a new career. He had worked out, traveled the world, read books, on and on. While he is relatively happy, he feels empty. He is seventy years old when he reads a flyer on a bulletin board. A rising company is looking for ""senior"" interns, that is, people who have had tons of experience who can be used as a kind of publicity stunt. Ann Hathaway is the wunderkind of a clothing company that has feasted on the Internet. DeNiro finds himself with no power, attached to Miss Hathaway, but doing no work. Eventually, by taking on some of the hard work and showing utter kindness, he manages to become quite the institution in the firm. His boss is trying to balance both her career and her marriage (and daughter). At some point, it is decided that she should hire a CEO and give power over to him/her. Soon DeNiro finds himself at the beck and call of Hathaway, becoming part of the family. This is a touching, but predictable effort. It's still a nice two hours and DeNiro steals every scene he is in.
17 out of 19 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"17 out of 19 found this helpful. Was this review helpful? Sign in to vote.
Permalink",12 March 2016
SnoopyStyle,"nice pairing Ben Whittaker (Robert De Niro) is a 70 year old Brooklyn widower and a retired executive from the phone company. His son's family lives out of town. He tries to fill his days of leisure. He spots a flyer advertising internships for senior citizens. It's a fast-paced fashion internet commerce site run by Jules Ostin (Anne Hathaway). It's been a hectic 18 months for the married mother of little girl and she is reluctantly forced to use Ben as her assistant. Her husband Matt gave up his job to be the stay-at-home dad. Fiona (Rene Russo) is the company masseuse. Ben befriends everyone until Fiona starts to find him indispensable.

Nancy Meyers gets a bad rap as the rom-com has become a passe genre. This is not a rom-com but it is a friend-com. De Niro is a little too perfect as the magical old guy with all the answers and lessons for the young ones. This movie is a bit too neat and clean with the characters. Hathaway is the driven multi-tasking internet executive. The characters may be stock but the actors make them breathe. Some of the side characters have some fun. The big twist (not that surprising) does not really raise the drama although Nancy is trying to say somethings. It all combines to create a nice pairing of these two great actors.", 7/10,"12 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink",30 September 2016
wembleyfm,"Surprisingly Intern-resting! Without knowing too much about the plot, I assumed this was taking De Niro down a familiar trodden path of another ""Fokker"" type role. How wrong I was! This is a very endearing, gentle and easily watchable escapade that sees an ageing De Niro being given an internship with an e-commerce fashion company and becoming surprisingly useful at bestowing his considerable knowledge to his new colleagues. I can't remember ever seeing De Niro play such a likable role without seemingly any flaws to his character. Hathaway charms her way through the film and there's a nice cameo from Russo as a love interest. A film that doesn't try too hard to be funny and comes across better for it.
69 out of 78 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"69 out of 78 found this helpful. Was this review helpful? Sign in to vote.
Permalink",18 December 2015
moviexclusive,"De Niro and Hathaway's chemistry is a sheer delight, but Nancy Meyers' distracted screenplay in the second hour undercuts an otherwise genuinely entertaining start As far as on screen pairings go, 'The Intern' boasts probably one of the most interesting ones in recent memory. On one hand is Robert De Niro's 70-year-old Ben Whittaker, presently struggling to deal with the concept of retirement; on the other is Anne Hathaway's 32-year-old Jules Ostin, the founder and CEO of a tremendously successful fashion-based e-commerce company called 'About the Fit' or 'ATF' for short' who is presently struggling to deal with the demands of her investors while not neglecting her six-year-old daughter and stay- home husband. Diametrically opposite as they may be, writer/ director Nancy Meyers wants to prove that these two individuals can have much more to learn from each other than you and I can imagine.

So through a community outreach programme which one of her company's executives hatched, Ben finds his away into ATF as a senior intern after impressing some of the much younger employees with his warm sense of humour, his cheery can-do demeanour and proving least likely among his competition to drop dead while on the job (yes, we mean this literally). Despite Jules' initial chagrin, that same executive assigns Ben directly to Jules in order to set an example for the rest of the employees in the company. And as the trailers would have you know, Ben will slowly but surely overcome her reservations with a keen sensitive eye and an unerring professionalism, eventually becoming not just a calming ear amidst the day to day chaos at the workplace but also an invaluable source of advice for her professional and personal woes.

Just so you know, De Niro and Hathaway do not eventually fall in love with each other, so you can rest easy if you're wondering or worried if things would eventually get weird or awkward between them; and to put that at rest, Meyers finds De Niro a romantic interest in Rene Russo's in-house massage therapist Fiona and occupies Hathaway with the discovery that her husband (Anders Holm) has been cheating on her with the stay-home mother of her daughter's schoolmate. It is also in the latter where De Niro will come most prominently to play counsellor and confidante, nudging her not to blame her workaholic tendencies for her husband's infidelity. Oh yes, there is a message of empowerment and encouragement for all career mothers within – and a slap on the face if you will have it for their other halves who use that as an excuse to commit adultery.

In keeping with her recent movies, Meyers has eschewed male- dominated Hollywood stereotype by fashioning Jules as a strong, opinionated and successful female individual who can be a hands-on CEO to over 220 employees at her company while being a dedicated mother and loving wife. Her response to her husband's infidelity isn't to fall in love with a fellow co-worker or to divorce him immediately; rather, she wants to give him a second chance, believing that a re-affirmation of their mutual love for each other will convince him to end his affair once and for all. You may disagree – as Ben does – with whether she is being naïve, but hey it's undeniably still a strong gutsy move for a woman to put aside her pride and her hurt to offer forgiveness and to choose to stay together.

Meyers also has yet another intention here, and that is to quash ageism at the workplace. It isn't just coincidence that the company Ben joins is in the Internet business; as incongruous as his presence may be in an industry that arguably does not appeal to his age demographic, Meyers wants to let the young upstart CEOs of today's tech companies know that – as the tagline goes – experience never gets old and that there is something that the Gen-Y leaders can learn from their Gen-X counterparts. You can almost hear Meyers' own lament through Jules that the men of today are a far cry from the likes of Jack Nicholson and Harrison Ford, and that just as Jules does, we will find something to learn from the silver-haired members of our workforce.

Both are equally poignant lessons, but perhaps not so wieldy in the same movie. Meyers tries to convey the latter first, and does so quite persuasively through a mixture of situational comedy and punchlines that are gently amusing but never by way of caricature – indeed, the closest she comes to farce is an 'Oceans' Eleven' like 'heist' led by Ben to break into Jules' mother's house and delete an email that Jules had accidentally sent to her mother. The first hour of the movie cruises by like a breeze, in large part as well thanks to De Niro's spot-on comic timing that he hasn't lost since the last sequel of 'Meet the Parents'. There is also much delight to be had watching De Niro and Hathaway break the ice between their respective characters, their dynamic sincere, heartfelt and genuinely affable.

Unfortunately, Meyers doesn't quite do the former as well, and the latter half of the movie sags as a result of a more melodramatic change in tone and pace. Not to trivialise women in similar predicaments, but it isn't quite so convincing just why Jules' husband would cheat on her in the first place and a tad too convenient how Ben comes to chance upon the fact which ends up putting him in a moral quandary.

And though Meyers' screenplay could do with some work, it is the sheer effervescent chemistry between De Niro and Hathaway that keeps the movie afloat. Both are equally lovely in their respective roles, and the strength of their performances is enough to make you forgive the fact that their characters are probably too good-natured to be true. Yes, 'The Intern' works best when it is a two-hander between its unlikely on screen pairing, and fizzles out especially in the last third once it decides to make three a crowd.", 6/10,"117 out of 164 found this helpful. Was this review helpful? Sign in to vote.
Permalink",21 September 2015
MaryM14,"Great concept! It's amazing how well this film captured the essence of being a millennial brand. The craziness, and hectic behind- the-scenes life of the online startups that we see pop in our Instagram feed daily. I actually love Anne Hathaway in this business woman roll. Also the movie will make you like Robert De Niro, as he plays a kind gentlemanly retiree. I never get to see De Niro in this type of roll (due to me usually not liking any movie he's in) but he's so admirable in this movie and I couldn't imagine anyone playing it better. I love how the movie shows some of the struggles and prejudice a female founder/CEO can face without portraying Anne's character as whiny or completely incapable of running her own company.

""You're never wrong for doing the right thing.""
42 out of 49 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 8/10,"42 out of 49 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10 January 2020
Ricardo-36,"Good premise, flawed execution The Intern is what I call a ""paint by the numbers"" film. It hits all the necessary notes for this sort of comedy but misses the point of what a movie is supposed to be, like a paint by the numbers painting misses the point of art. It's like a robot has got the premise, seen a lot of comedy/drama-ish feel good films like Driving Miss Daisy, Devil Wears Prada, etc, and decided to spit out a screenplay. It doesn't work, and what does work, is sustained by the actors performances.

The main problem with the film is the lack of structure. The main protagonist is Ben, at least, that's what the audience is supposed to be led to believe. His life starts the film, he is the one that leads the audience to the situation, but he has no flaws. He has no dilemma. He has absolutely no character arc. He is a widower with too much free time and sort of has a void to be filled, I guess? He doesn't seem to be suffering, and all of his problems are solved at the first 5 minutes. Done. What is his change after that? Nothing. He is a perfect gentleman who does not learn anything in particular, does not grow, has no epiphany or real change. He is a mentor figure, he is not a protagonist.

Jules is the protagonist, but I guess the director did not know that fact. She sort of has a character arc, but it goes by so awkwardly it's just confusing. She has problems with her marriage, which are sort of represented by her husband sleeping when she wants to have sex. She seems to have trouble managing the company, but characters SAY she is having trouble, we don't see it. We have no sense of urgency, no crisis, characters SAY she has trouble managing it all. First rule of film media is: SHOW, don't tell.

Then there's the whole husband cheating subplot that was sort of created to add tension and drama, but falls so flat it's unbelievable. First, the audience learns about the cheating first, and then the protagonist states she already knows about it. Well thanks for letting us know, you gave us NO indication that was a problem. Second, it is resolved as a Deus Ex Machina, he just begs for her forgiveness and for some weird reason, she's just OK with it. I don't buy it.

Then there are the annoying minor characters that have almost no development, and the most annoying writing decision in the film: adding a scene where they break into the mother's home to delete an e-mail, JUST for the sake of adding a frantic, fast paced highly comical scene where one was needed. It goes absolutely against character! Ben offered to break into the house? What? WHY? He was supposed to be a down to earth, calm, wise man who would know better that Jules talking to her mother and explaining her feelings would be better than doing an illegal break in a mother's home.

Rene Russo's character is a waste, added for two reasons: clichéd, juvenile comedy (oh, he is aroused by that older woman, how hilarious! oh, the fat guy interrupted that massage and could NOT get out of the room silently, so funny!), and to just make the audience accept Ben was seeing someone else and would not, under any circumstances, fall for Anne Hathaway's character (so the hotel room scene is not as awkward as it must he felt while writing it).

Characters just do the most bizarre things just for the sake of hitting the points the movie wants to hit, and it goes absolutely nowhere. Does Ben get the CEO job he so OBVIOUSLY deserved? Nope. He just does Tai Chi and that's it.

There is no turn to a second or third act. The whole thing is muddled, confusing, paced so awkwardly you'd assume there is a real plot cut from the movie. Maybe it was a murder mystery, I don't know. The whole thing is lacking a proper movie structure.

Now, the only reason this deserves a 5/10 and not a 1/10, is the acting chops of Anne Hathaway and Robert DeNiro, who does NOT fake in an acting job as he has done for the past years. He keeps it consistent, keeps it believable, hits the tone and sells of that character. I mean, imagine Bill Murray in that same role. It would not work, because we would not see past the actor when the character is so low-key. DeNiro can do it because he is one of the best, he knows how to pull it off, and he does.

I am saddened by the lost potential. I really like the premise, someone older getting into a modern workplace, learning and teaching. If we got this movie's screenplay and asked for, let's say, Lawrence Kasdan to do one additional rewrite, it would be an instant classic. Oh well. Better luck next time.", 5/10,"186 out of 273 found this helpful. Was this review helpful? Sign in to vote.
Permalink",1 October 2015
AnnaPagrati,"Such a heart-warming movie! I can't even with this film! Such a family, beautiful plot, the actors are so good & the whole mood of the movie is just gold! An obvious 10/10, love these kinds of films!
7 out of 8 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"7 out of 8 found this helpful. Was this review helpful? Sign in to vote.
Permalink",3 December 2021
jimel98,"Nice Story that's a bit predictable. OK, first and foremost, I'm sick of the pretentious a-holes who rush like sharks to a seal feeding area to condemn this type of movie. You blow hards go and make a few movies and THEN spout off your know it all garbage. GAWDALMIGHTY! OK, with that out of my system, this movie is a fairly predictable and pedestrian film. I have to be brutally honest however, a couple of small curve balls did surprise me, but overall, eh. Not a great movie but hey, a nice story. I use that word a lot, 'nice' and I've acknowledged that before. For some films, it's the best description. It's not exciting, it's not thought provoking and it's not intended to be. It's entertaining and at times, a bit uplifting. In a word, it's NICE! What the hell is wrong with nice? Not a damn thing. The whiney folks who feel every movie must have impact or teach a lesson or...what-have-you, are jerks, morons and probably failed film students who were rejected by EVERY movie studio, even the Troma Team. Let's be honest you egomaniacs, shall we? I'm just a guy who loves movies and in this movie I see a pleasant story that allowed me to sit for an hour and 1/2 and just enjoy a nice story. Is that so wrong? No, dammit, it isn't. Am I angry, yeah, I guess I am. Do I care if I offend a few douche bags? Hell no.

Sorry, I'm really ranting here.

Bottom line, Robert De Niro can do ANYTHING (and sure, it seems like lately he WILL DO ANYTHING!) and he pulled off this role very nicely. If you don't like this word, stop reading....NOW! He's a mild mannered good guy who wants to not be bored. Anne Hathaway has shown she can handle acting very well. I keep wanting to see more depth in her characters, but this movie didn't require much and that's fine. She's a good actor, not a shlub who gets by solely on looks.

Rene Russo. 'Nuff said.

The supporting cast do a magnificent job doing exactly what they are supposed to do, SUPPORT.

Sure, I found some things that I scratched my head at. Where did HE go? Why did SHE do this? What ever happened to....? But it's not a documentary, it's a nice (YEAH, NICE-IN YOUR FACE!) story that shouldn't have to explain everything. People don't go to the movies to have every detail correct and every single moment or event fit perfectly into reality. Take it from me, I can be a stickler with some types of movies, but I'm also a realist and even when I'M the one whining, I try to keep my whining in perspective. Some here do not. They think they're some important critic who's word will make or break a movie. NONE OF US HERE ARE VERY IMPORTANT! GET OVER YOURSELVES! So, bottom line, it's a nice (yeah, nice) movie that entertains. If you like simple movies that simply make you smile, this is one for you. If you demand perfection, make your own damned movies.", 7/10,"27 out of 36 found this helpful. Was this review helpful? Sign in to vote.
Permalink",5 August 2016
