keyword,count
ben,16219
anhathaway,11949
jules,9633
movie,8277
niro,7369
anne,5303
intern,3470
prada,2808
handkerchief,2696
grandpa,2201
robert,1928
elderly,1521
movies,1082
deniro,983
handkerchiefs,877
senior,741
uncle,677
ending,656
old,573
bambam,572
fashion,572
cast,567
seniors,542
affair,520
older,508
acting,504
hathaway,494
ann,487
actor,476
gentleman,454
grandfather,447
retirement,400
godfather,375
internship,363
comedy,362
warm,356
friendship,355
devil,338
age,335
scene,321
relationship,320
work,316
japanese,315
watch,313
interns,300
smile,289
life,288
ceo,283
subtitles,281
tempo,277
film,270
sequel,265
theater,261
happiness,243
cried,241
heartwarming,241
generation,239
handsome,232
women,230
dvd,219
brooklyn,217
netflix,214
healed,206
immortal,202
japan,194
watching,191
actors,188
gender,187
adult,186
actress,177
aging,171
favorite,167
characters,160
fiona,156
spoiler,155
woman,152
director,150
hesitate,147
gentlemanly,145
masterpiece,141
sayonara,137
nancy,135
office,132
unhathaway,132
story,128
subordinate,128
goodbye,127
trust,125
character,124
denilo,124
drama,124
motivation,122
kindness,120
fashionable,117
young,117
soothing,114
watched,112
fun,112
prejudice,111
ocean,107
classical,106
retire,105
gentlemanliness,105
meet,104
husband,103
becky,103
scenes,99
boring,98
relationships,98
anhasa,98
president,96
heart,95
experience,94
music,93
living,93
crying,93
reviews,91
personality,90
career,89
heroine,85
positive,85
motivated,85
loneliness,85
boss,85
cinema,84
renelsso,82
cheerful,81
yoga,80
advice,80
taxi,79
mafia,79
romance,78
love,78
cheer,77
evaluation,76
joker,76
2020,75
adultery,74
humble,74
dramas,73
sushi,71
plane,70
jales,69
attractive,69
adults,68
grandfathers,68
generations,67
2022,67
tai,67
detox,66
gentle,64
forgive,64
matt,62
cheating,61
aged,61
tsutaya,59
live,59
marry,59
genre,59
glad,58
imadoki,58
villain,58
adam,58
recommend,58
family,58
courage,57
tears,57
younger,57
tsukkomi,56
suits,56
interstellar,55
depressed,54
stories,54
marriage,53
husbands,53
smiling,53
feel,52
review,52
dubbed,52
anhazaway,51
ojisan,51
workplace,51
suit,51
kingsman,49
massager,49
uncles,49
superman,48
warmth,48
tortoise,48
grandmother,48
rated,47
society,47
empathy,47
grave,47
best,47
mentor,46
romantic,45
