keyword,count
movie,16179
fun,4965
anne,2995
touching,2461
intern,2168
heartwarming,1919
enjoyed,1899
ben,1824
calm,1804
healing,1692
niro,1642
ending,1531
warm,1398
recommend,1373
boring,1264
movies,1226
acting,1071
actors,1049
mentor,865
smile,823
robert,781
good,669
hathaway,645
old,592
grandfather,591
watch,581
heart,538
life,520
,480
grandpa,476
grow,474
internship,469
best,466
jules,443
adult,436
passion,426
expect,425
recommendation,421
time,401
korea,400
actor,387
age,376
interns,358
prada,344
touched,343
end,341
drama,339
nice,329
office,322
handkerchief,318
pleasant,309
elderly,299
story,297
wisdom,293
older,288
work,254
family,251
daniro,243
great,242
experience,240
want,238
thank,236
cried,235
happy,233
cool,228
emotions,225
senior,224
retirement,220
emotion,218
korean,217
expectations,216
love,213
twice,208
think,204
liked,201
regret,196
watching,191
autumn,190
expected,186
parents,183
moving,181
healed,180
miss,178
theater,177
calmly,175
smiling,174
comfortable,173
realistic,171
fall,168
chuseok,168
comedy,164
fine,163
chemistry,163
pretty,160
lesson,156
felt,155
adults,147
aging,147
company,144
warmth,143
watched,143
generations,142
comfortably,139
feel,139
emotional,137
happiness,133
meaningful,131
seniors,131
words,131
film,131
heroine,130
scene,124
live,122
fantasy,121
lingering,121
future,121
passionate,119
empathy,118
memorable,117
saw,117
bored,116
mom,116
affair,113
calmness,112
generation,111
characters,110
relate,108
moved,105
learn,104
tears,103
young,102
music,101
character,100
ratings,100
sad,98
thinking,96
youth,96
lessons,96
gentleman,94
genre,92
disappointed,92
rating,91
bad,90
recommended,89
look,87
nancy,86
perfect,86
crying,85
social,85
waste,85
scenes,84
thoughts,84
reviews,84
mood,84
julie,83
laughter,83
boredom,82
immersed,81
favorite,81
reality,81
atmosphere,81
husband,81
funny,80
laughed,79
impressed,79
like,79
mole,78
thought,78
delightful,78
impression,77
kkondae,76
jam,76
night,75
lightly,74
content,74
fresh,74
lines,74
laughing,72
disappointing,72
morning,71
job,71
touch,71
killing,71
protagonist,70
feeling,70
trailer,70
twist,70
director,69
laugh,68
better,67
okay,67
friendship,66
line,65
obvious,65
comic,65
harmony,64
comical,64
forgive,64
dad,63
russo,63
sleepy,63
jealous,62
heavy,62
disappoint,61
meet,60
lot,59
style,59
romance,59
stars,59
just,58
small,58
satisfied,58
dream,57
really,57
york,56
refreshing,56
sympathized,56
person,55
woman,55
seeing,55
wish,54
immersive,54
ended,54
popular,53
women,53
calming,53
veteran,52
prejudice,52
stories,51
tall,51
beginning,51
masterpiece,51
retire,51
preview,50
interesting,50
worth,50
wise,49
hope,49
relaxation,49
classical,49
analog,48
warming,48
comforted,48
cliché,48
peaceful,47
advice,47
father,47
comforting,47
light,47
ants,46
mother,46
cozy,46
forward,45
heal,45
courage,45
long,45
precious,45
career,45
conflict,45
hollywood,45
handkerchiefs,45
glad,45
relationship,44
novel,44
boss,44
proud,44
sayonara,44
infidelity,43
bland,43
manners,43
easy,43
stimulating,43
aftertaste,43
heals,42
forgiveness,42
comfort,42
mothers,42
humor,42
van,41
refreshed,41
experiences,41
daughter,41
subject,41
deniro,41
background,40
dramatic,40
relaxed,40
honey,40
trust,40
cheerful,40
tale,40
smiled,39
real,39
subtitles,39
confidence,39
learned,39
gentle,37
silver,37
devil,37
godfather,36
myers,36
society,36
strength,36
ceo,36
score,36
living,35
climax,35
provocative,35
namjoo,35
whitaker,35
actress,35
challenge,35
workplace,35
sympathy,35
couple,34
foreign,34
groom,34
yeoju,34
recommendations,34
communication,33
regrets,33
relationships,33
culture,33
