keyword,count
movie,765
intern,700
jules,420
niro,391
deniro,357
anne,326
ben,283
film,275
hathaway,255
comedy,166
cast,138
,132
ending,116
actors,107
acting,98
movies,88
nancy,84
robert,68
meyers,58
story,54
ceo,54
characters,53
predictable,52
enjoyable,51
enjoyed,49
watch,47
entertaining,44
internship,44
russo,44
plot,41
critics,39
actor,39
whittaker,39
heartwarming,37
scenes,37
boring,35
interns,35
helpful,34
loved,33
films,33
chemistry,31
script,31
storyline,30
performances,27
comedies,27
recommend,25
charming,25
generation,24
theater,24
generations,23
review,23
heart,22
screenplay,22
old,22
feminism,21
cinema,21
nero,21
laughs,21
leads,21
audience,21
trailer,21
hollywood,21
scene,21
retirement,21
fiona,21
smile,20
drama,20
heartfelt,20
romance,20
conflict,20
seniors,20
pleasant,19
reviews,19
friendship,19
matt,19
rating,19
prada,19
family,19
casting,19
10,18
touching,18
moments,18
dialogue,18
cute,18
relationship,18
widower,18
handkerchief,18
writing,17
bad,17
end,17
dinero,17
funny,17
expected,16
music,16
stars,16
character,16
feminist,16
cinematography,15
fun,15
liked,15
genre,15
humor,15
director,15
life,15
elderly,15
clichés,15
mood,14
relaxing,14
laugh,14
bobby,14
women,14
love,14
holm,14
pleasantly,14
cliches,14
brooklyn,14
good,13
cliché,13
fashion,13
age,13
watchable,13
rom,13
romantic,13
woman,13
chick,13
imdb,13
actress,12
cheesy,12
2015,12
expectations,12
uplifting,12
office,12
disappointed,12
experience,12
oscar,12
tech,12
warm,11
gender,11
date,11
wholesome,11
wrong,11
minutes,11
business,11
affair,11
husband,11
act,10
hours,10
flick,10
fresh,10
senior,10
feel,10
ann,10
rene,10
cliche,10
entertainment,10
generational,10
daughter,10
twist,10
wife,10
refreshing,10
emotions,10
masseuse,10
paige,10
better,9
worth,9
cried,9
night,9
recommended,9
terrible,9
older,9
tears,9
role,9
watching,9
emotional,9
boss,9
hilarious,9
forgiveness,9
jokes,9
gentleman,9
anders,8
bland,8
subplots,8
stereotypes,8
retired,8
men,8
overall,8
home,8
marriage,8
masculinity,8
flaws,8
sentimental,8
premise,8
workplace,8
delightful,8
adam,8
netflix,8
score,8
special,8
myers,8
massage,8
believable,8
lines,8
soundtrack,8
spoilers,8
depth,7
entrepreneur,7
lessons,7
ends,7
wisdom,7
concept,7
lead,7
becky,7
realistic,7
aging,7
taxi,7
ended,7
trailers,7
sappy,7
infidelity,7
ostin,7
lesson,7
acted,7
elders,7
tone,7
light,7
paced,7
modern,7
pacing,7
day,7
sequel,7
fluff,7
ages,7
happiness,7
did,7
millennial,7
comedic,7
email,7
perfect,7
theaters,6
awful,6
rated,6
written,6
sweetest,6
simple,6
smiling,6
people,6
cringe,6
work,6
dialogues,6
apple,6
roles,6
whitaker,6
mentor,6
unrealistic,6
meyer,6
surprise,6
anna,6
commercial,6
heist,6
thumbs,6
adorable,6
grade,6
millennials,6
directing,6
waste,6
excellent,6
emotion,6
rent,6
laughter,6
charm,6
weekend,6
entertained,6
moral,6
awards,6
york,6
gangster,6
relationships,6
twists,6
thoughtful,6
best,6
bipolar,6
younger,6
harmless,6
miss,6
exciting,6
laughed,6
viewing,6
holiday,6
narrative,6
ageism,6
great,6
subplot,6
reviewers,6
boomers,5
like,5
teaches,5
said,5
dramedy,5
positive,5
handkerchiefs,5
facebook,5
masterpiece,5
problem,5
dramatic,5
favorite,5
compelling,5
balance,5
plane,5
attention,5
long,5
lovely,5
godfather,5
job,5
founder,5
world,5
2024,5
fish,5
twain,5
memorable,5
potential,5
fluffy,5
worst,5
really,5
surprises,5
audiences,5
expect,5
lighthearted,5
nice,5
crying,5
dark,5
tale,5
quirky,5
technology,5
disappointing,5
dvd,5
sad,5
idea,5
likable,5
theme,5
things,5
schmaltz,5
retire,5
adultery,5
fantastic,5
issues,5
arc,5
endearing,5
father,5
happy,5
theatre,5
wine,5
hearted,5
